epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7784.93,0.74028,0.64644,0.95121,0.78756,0.68483,0.68684,0.58285,0.69648,0.57138,0.96733,0.00114853,0.00114853,0.00114853
43,7960.36,0.7638,0.64573,0.97121,0.53597,0.77336,0.63462,0.51648,0.72385,0.6201,0.96936,0.00114605,0.00114605,0.00114605
44,8141.39,0.75974,0.61171,0.95127,0.55925,0.70833,0.63084,0.48982,0.85231,0.65388,1.05232,0.00114357,0.00114357,0.00114357
45,8345.09,0.76819,0.62013,0.97732,0.52729,0.69955,0.6394,0.50358,0.76428,0.5714,1.00057,0.0011411,0.0011411,0.0011411
46,8536.55,0.77191,0.60451,0.97083,0.77009,0.65081,0.68402,0.57159,0.70587,0.57767,0.97432,0.00113863,0.00113863,0.00113863
47,8711.49,0.75111,0.58648,0.94664,0.6996,0.70833,0.65973,0.54116,0.68636,0.53357,0.95834,0.00113615,0.00113615,0.00113615
48,8891.22,0.73047,0.58368,0.94486,0.6485,0.70833,0.63905,0.5225,0.68247,0.62289,0.96197,0.00113368,0.00113368,0.00113368
49,9082.08,0.73137,0.60906,0.9454,0.95476,0.73118,0.77248,0.64786,0.72477,0.51823,0.97587,0.0011312,0.0011312,0.0011312
50,9285.08,0.75561,0.6275,0.976,0.81339,0.68126,0.78653,0.66058,0.7382,0.52686,0.98532,0.00112873,0.00112873,0.00112873
51,9468.15,0.7065,0.58649,0.94739,0.92246,0.69001,0.82101,0.68766,0.71567,0.49752,0.97584,0.00112625,0.00112625,0.00112625
52,9655.76,0.70947,0.55933,0.95427,0.77156,0.91143,0.88772,0.75299,0.67201,0.43671,0.95444,0.00112378,0.00112378,0.00112378
53,9853.21,0.71402,0.54903,0.95047,0.84271,0.84665,0.89133,0.72144,0.74326,0.49291,0.98537,0.0011213,0.0011213,0.0011213
54,10041.6,0.72586,0.55098,0.93289,0.68697,0.854,0.82147,0.69271,0.70732,0.54256,0.9707,0.00111882,0.00111882,0.00111882
55,10216.5,0.71952,0.54617,0.93718,0.86803,0.68364,0.80176,0.66835,0.76997,0.5337,1.00027,0.00111635,0.00111635,0.00111635
56,10404.7,0.7022,0.58834,0.94189,0.90272,0.70216,0.81988,0.69591,0.74354,0.48981,0.98453,0.00111388,0.00111388,0.00111388
57,10609.5,0.71052,0.54736,0.93843,0.50508,0.91667,0.63646,0.53069,0.72433,0.60322,0.97357,0.0011114,0.0011114,0.0011114
58,10774.1,0.71803,0.57363,0.95751,0.62428,0.86075,0.71955,0.59391,0.65218,0.55198,0.93777,0.00110892,0.00110892,0.00110892
59,10957.3,0.72846,0.5453,0.94104,0.80364,0.88375,0.77803,0.63465,0.70709,0.53171,0.96831,0.00110645,0.00110645,0.00110645
60,11143.1,0.75492,0.57866,0.96125,0.55261,0.875,0.66831,0.51879,0.7882,0.63798,1.0245,0.00110397,0.00110397,0.00110397
61,11330.8,0.74007,0.55365,0.95711,0.76982,0.74712,0.81569,0.67678,0.73573,0.522,0.99304,0.0011015,0.0011015,0.0011015
62,11507.5,0.73215,0.54008,0.93762,0.67365,0.87879,0.81343,0.67548,0.70279,0.55247,0.96137,0.00109903,0.00109903,0.00109903
63,11701.4,0.68895,0.51125,0.92644,0.75943,0.75,0.75346,0.63704,0.69838,0.52181,0.96623,0.00109655,0.00109655,0.00109655
64,11893.8,0.70805,0.5292,0.94574,0.77773,0.93192,0.77173,0.64165,0.66471,0.45648,0.94146,0.00109408,0.00109408,0.00109408
65,12113.4,0.70073,0.51128,0.93612,0.72426,0.91667,0.83718,0.72043,0.6343,0.46426,0.92551,0.0010916,0.0010916,0.0010916
66,12290.7,0.70918,0.51462,0.93971,0.97676,0.91453,0.9533,0.81186,0.68085,0.42998,0.9487,0.00108913,0.00108913,0.00108913
67,12486.5,0.6906,0.47417,0.90988,0.6851,0.91667,0.81232,0.67022,0.67357,0.48965,0.95614,0.00108665,0.00108665,0.00108665
68,12665.6,0.69115,0.50282,0.9328,0.9194,0.92051,0.96428,0.83121,0.68062,0.4211,0.94663,0.00108417,0.00108417,0.00108417
69,12851.1,0.67734,0.46988,0.9273,0.97096,0.9289,0.98453,0.82804,0.64955,0.4045,0.93075,0.0010817,0.0010817,0.0010817
70,13036.6,0.67111,0.50815,0.93293,0.96955,0.86364,0.97843,0.80675,0.7022,0.47141,0.95412,0.00107923,0.00107923,0.00107923
71,13218.2,0.68172,0.49598,0.93124,0.79209,0.70833,0.78113,0.66101,0.76081,0.56691,0.98909,0.00107675,0.00107675,0.00107675
72,13399.2,0.67573,0.56116,0.93015,0.89935,0.70833,0.77881,0.65712,0.74628,0.48617,0.99194,0.00107427,0.00107427,0.00107427
73,13578.2,0.68026,0.52154,0.93484,0.61734,0.57698,0.66173,0.5425,0.72218,0.54858,0.97615,0.0010718,0.0010718,0.0010718
74,13750.1,0.66926,0.51054,0.91721,0.74545,0.91667,0.73937,0.5972,0.72759,0.47888,0.968,0.00106933,0.00106933,0.00106933
75,13938.7,0.69973,0.4913,0.94929,0.91919,0.75,0.87692,0.77749,0.61958,0.42561,0.91442,0.00106685,0.00106685,0.00106685
76,14131.3,0.67521,0.4649,0.92396,0.8769,0.91667,0.94908,0.81604,0.63171,0.41983,0.92647,0.00106437,0.00106437,0.00106437
77,14321.1,0.66039,0.47394,0.93316,0.60031,0.75,0.67097,0.57542,0.64912,0.49416,0.93521,0.0010619,0.0010619,0.0010619
78,14508,0.69301,0.48587,0.9352,0.85527,0.70833,0.8202,0.69537,0.61821,0.4681,0.91606,0.00105942,0.00105942,0.00105942
79,14695.7,0.67288,0.46983,0.91637,0.74208,0.70833,0.74333,0.63201,0.67147,0.50745,0.94187,0.00105695,0.00105695,0.00105695
80,14882,0.68144,0.47965,0.92483,0.82396,0.79167,0.7987,0.68492,0.66277,0.46846,0.95163,0.00105448,0.00105448,0.00105448
81,15068.9,0.68848,0.51118,0.93981,0.92756,0.93003,0.97359,0.8271,0.656,0.40068,0.9303,0.001052,0.001052,0.001052
82,15245.5,0.68306,0.4903,0.92161,0.75653,0.79167,0.86603,0.74069,0.67713,0.47212,0.94015,0.00104952,0.00104952,0.00104952
83,15427.8,0.67749,0.48578,0.91675,0.95219,0.73804,0.82095,0.6993,0.69091,0.44297,0.95718,0.00104705,0.00104705,0.00104705
84,15610.1,0.64506,0.45811,0.93562,0.78395,0.73345,0.73439,0.59959,0.71592,0.49422,0.97179,0.00104458,0.00104458,0.00104458
85,15798.7,0.64677,0.42778,0.93292,0.85698,0.74542,0.85477,0.72765,0.65603,0.42407,0.93052,0.0010421,0.0010421,0.0010421
86,15975,0.66197,0.42047,0.92262,0.87811,0.92154,0.92611,0.77797,0.67959,0.38728,0.96078,0.00103962,0.00103962,0.00103962
87,16151.9,0.70162,0.43763,0.92786,0.72187,0.89664,0.76827,0.65967,0.65344,0.46623,0.94028,0.00103715,0.00103715,0.00103715
88,16335.9,0.68215,0.47619,0.91796,0.93741,0.90266,0.96191,0.80533,0.72072,0.4208,0.96833,0.00103468,0.00103468,0.00103468
89,16522.2,0.70055,0.50059,0.94319,0.68606,0.90379,0.84979,0.70832,0.64372,0.49412,0.93129,0.0010322,0.0010322,0.0010322
90,16688.4,0.67133,0.45882,0.92876,0.84216,0.91629,0.96936,0.81193,0.66211,0.38273,0.93113,0.00102972,0.00102972,0.00102972
91,16873.5,0.64548,0.42665,0.91664,0.92857,0.88463,0.94067,0.80718,0.63172,0.41169,0.92692,0.00102725,0.00102725,0.00102725
92,17060.2,0.65969,0.44994,0.93435,0.98146,0.93411,0.97047,0.84655,0.59461,0.34175,0.91047,0.00102478,0.00102478,0.00102478
93,17252.1,0.6487,0.45258,0.91246,0.87005,0.92056,0.98409,0.87795,0.56708,0.33689,0.90167,0.0010223,0.0010223,0.0010223
94,17435.2,0.6428,0.43052,0.91189,0.97458,0.95118,0.97445,0.87945,0.57056,0.33326,0.89749,0.00101983,0.00101983,0.00101983
95,17623.9,0.64014,0.40475,0.90438,0.90016,0.87096,0.97285,0.85184,0.62941,0.38252,0.92339,0.00101735,0.00101735,0.00101735
96,17809.6,0.64797,0.4049,0.91265,0.93505,0.95833,0.9641,0.83408,0.62925,0.37693,0.92875,0.00101488,0.00101488,0.00101488
97,17995.2,0.627,0.3994,0.91266,0.97567,0.95833,0.96836,0.82565,0.64126,0.37154,0.9268,0.0010124,0.0010124,0.0010124
98,18161.7,0.63832,0.44552,0.91821,0.96861,0.95216,0.96521,0.8236,0.60949,0.36631,0.92003,0.00100993,0.00100993,0.00100993
99,18350.3,0.61706,0.42048,0.90368,0.95053,0.92207,0.9778,0.82675,0.64829,0.35556,0.93878,0.00100745,0.00100745,0.00100745
100,18544.5,0.62951,0.43077,0.91517,0.96102,0.95019,0.98136,0.85086,0.62944,0.33109,0.92788,0.00100497,0.00100497,0.00100497
101,18749.3,0.62947,0.39574,0.91006,0.97129,0.95833,0.98015,0.84808,0.61381,0.34888,0.91684,0.0010025,0.0010025,0.0010025
102,18943.7,0.65955,0.44503,0.92078,0.91773,0.91696,0.9867,0.81326,0.6597,0.39389,0.93873,0.00100003,0.00100003,0.00100003
103,19121.9,0.65113,0.41705,0.91661,0.95526,0.91937,0.98209,0.82157,0.60987,0.39036,0.9219,0.00099755,0.00099755,0.00099755
104,19310.8,0.6417,0.39599,0.92945,0.94784,0.95733,0.96767,0.83844,0.61998,0.37181,0.92643,0.000995075,0.000995075,0.000995075
105,19512.7,0.63233,0.40453,0.90482,0.77396,0.86826,0.97676,0.8252,0.64743,0.42912,0.92532,0.0009926,0.0009926,0.0009926
106,19675,0.66146,0.41102,0.91655,0.95395,0.93914,0.97931,0.85139,0.61025,0.36603,0.91844,0.000990125,0.000990125,0.000990125
107,19857.7,0.62632,0.38096,0.90696,0.86715,0.95833,0.91772,0.76852,0.58914,0.36811,0.90556,0.00098765,0.00098765,0.00098765
108,20051.1,0.61807,0.39937,0.89753,0.97366,0.95833,0.96833,0.8229,0.61103,0.33771,0.91702,0.000985175,0.000985175,0.000985175
109,20235.3,0.64848,0.41154,0.92392,0.96799,0.94201,0.97008,0.84868,0.59857,0.37453,0.90818,0.0009827,0.0009827,0.0009827
110,20413.9,0.63501,0.39603,0.90287,0.97948,0.95239,0.97116,0.82611,0.6063,0.36538,0.91456,0.000980225,0.000980225,0.000980225
111,20599.5,0.61279,0.3778,0.89638,0.99161,0.94796,0.98682,0.86868,0.57022,0.32471,0.89038,0.00097775,0.00097775,0.00097775
112,20787.2,0.62454,0.39882,0.91149,0.91463,0.79167,0.88282,0.69145,0.66786,0.36972,0.94997,0.000975275,0.000975275,0.000975275
113,20973.7,0.61281,0.39879,0.90077,0.98518,0.93241,0.98971,0.85515,0.61807,0.36366,0.90753,0.0009728,0.0009728,0.0009728
114,21145.8,0.59657,0.37883,0.90322,0.9634,0.94701,0.98682,0.86833,0.58553,0.3264,0.8942,0.000970325,0.000970325,0.000970325
115,21329.2,0.58997,0.34939,0.88559,0.96268,0.94219,0.97943,0.86196,0.60059,0.35921,0.90599,0.00096785,0.00096785,0.00096785
116,21513.3,0.61206,0.38217,0.9053,0.96837,0.9588,0.995,0.87223,0.61808,0.32302,0.91217,0.000965375,0.000965375,0.000965375
117,21700.7,0.62806,0.40065,0.91159,0.98599,0.96742,0.995,0.87577,0.61946,0.31791,0.91094,0.0009629,0.0009629,0.0009629
118,21889.9,0.62685,0.3905,0.90092,0.97975,0.98439,0.99494,0.88677,0.57406,0.32214,0.8954,0.000960425,0.000960425,0.000960425
119,22073.7,0.62476,0.37318,0.89508,0.98529,0.96228,0.995,0.8682,0.5841,0.28868,0.89362,0.00095795,0.00095795,0.00095795
120,22260.5,0.61947,0.39213,0.89724,0.98237,0.98017,0.995,0.8879,0.54676,0.29174,0.8791,0.000955475,0.000955475,0.000955475
121,22444.5,0.59837,0.37606,0.90058,0.68226,1,0.76933,0.66529,0.6022,0.37262,0.89834,0.000953,0.000953,0.000953
122,22617,0.60592,0.34336,0.90513,0.86252,0.91042,0.88,0.74074,0.68083,0.39974,0.94964,0.000950525,0.000950525,0.000950525
123,22804.4,0.60812,0.36786,0.89612,0.97421,0.98529,0.995,0.89185,0.57411,0.32734,0.8942,0.00094805,0.00094805,0.00094805
124,22997.2,0.57436,0.36882,0.88363,0.93099,0.95833,0.99056,0.88171,0.55897,0.33619,0.88399,0.000945575,0.000945575,0.000945575
